,ID,compound_id,Smiles,pKi,e0,e1,e2,e3
214,215,CHEMBL295395,CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3F)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C,6.519993057,0.17944588797550096,0.07483030215358648,-0.10112558261512399,-0.03718463566452608
215,216,CHEMBL402853,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1,6.0,0.15109606817230437,0.2759957591781285,-0.09099972843769083,0.04146165739578759
216,217,CHEMBL558467,CN(C)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,8.744727495,-0.15556117242894638,0.11158314439802922,0.21451699261294804,-0.07279906670782672
217,218,CHEMBL1940412,Fc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,7.201349355,0.04088713342955547,-0.19298264223456726,0.14900577016067254,0.09005640840564787
218,219,CHEMBL403815,Cc1ccc2c(-c3nnc(SCCCN4CCc5c(Cl)cc6oc(C)nc6c5CC4)n3C)cccc2n1,5.800000875,0.1490325973802849,0.2727094691347514,-0.06768632947148812,0.07873704548596272
219,220,CHEMBL2031874,CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.0,0.03749579009115839,-0.05001038769616394,0.005220270200952938,0.029220512897293313
220,221,CHEMBL240178,CS(=O)(=O)c1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCCC5)CC4)cc3)C(=O)C2)cc1,5.599999383,0.19292465598131814,-0.05985124757539285,-0.06734799760546395,-0.049290904045406154
221,222,CHEMBL1381010,Cc1cc(N2CCN(C)CC2)nc(N2CCOCC2)n1,5.0,-0.04989815199280533,0.022241750562782457,0.019255545845936153,0.16054673189757038
222,223,CHEMBL30008,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,7.744727495,-0.005453969889150509,-0.09893208847667746,0.07852666491103286,-0.0631991334131165
223,224,CHEMBL558468,COc1ccc(Cn2c(N3CCC(N(C)C)CC3)nc3ccccc32)cc1,8.619788758,-0.12911097747988792,0.12196235546238712,0.16467967180008863,-0.057665167839153694
224,225,CHEMBL1767160,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCN(CCCc2ccc(OCCCN3CCCCCC3)cc2)CC1,7.799970733,0.1878070353489738,0.10192293080435644,-0.024469848889357628,-0.07321089031898748
225,226,CHEMBL535631,CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4ccc(F)cc4)CC3=O)cc2)CC1,5.599999383,0.10178869235566412,-0.04932758222980608,-0.07734806479658622,-0.0581057728473219
226,227,CHEMBL64799,CCOC(=O)N1CCN(CCCOc2ccc(C(=O)Cc3ccccc3)cc2)CC1,6.030002001,0.16434936442863254,-0.13271696400301813,-0.016833158460341727,0.07518987850849751
227,228,CHEMBL2207660,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2)c1Cl,7.400007822,0.11242877221448962,0.05268131817516926,-0.011833194853865017,-0.04701665384179475
228,229,CHEMBL2146813,O=c1c2ccncc2c(Cc2ccc(Cl)cc2)nn1C[C@H]1CCCN1CCCCc1ccc(OCCCN2CCCCCC2)cc1,7.759950228,0.18235935197549352,0.11945420875221428,-0.01479517779070338,-0.06098432172779961
229,230,CHEMBL256016,Cc1ncoc1-c1nnc(SCCCN2CCc3cc4nc(C(C)C)oc4cc3CC2)n1C,5.499999679,0.11600882225477524,0.2567442295364767,-0.05885160442735028,0.14019995180273356
230,231,CHEMBL4165881,Cc1cccc(N2CCN(CCNc3cncc(Cl)n3)CC2)c1,5.609948504,-0.0033882386186353734,0.01853148453873179,0.07634350776186462,0.13219378400067178
231,232,CHEMBL2158793,Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1,7.100015437,0.1932233016816116,0.006387265478234162,-0.05035423196384244,-0.10265948191641132
232,233,CHEMBL440512,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,7.060480747,-0.1147593689918666,0.04499533967110439,-0.008180051851949453,0.10019218517054332
233,234,CHEMBL1923535,NCCc1ccccc1Oc1ccccc1,4.960000078,-0.17594123492970465,-0.09308086317429864,0.013685004053273657,-0.01396280189665283
234,235,CHEMBL104809,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3cccc(F)c3)C2)cc1)C1CC1,5.229147988,0.18922622775616912,-0.11432742888810751,-0.036049384542883214,-0.02850067781276791
235,236,CHEMBL2151155,CS(=O)(=O)c1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)CC2)cc1,5.599999383,0.18437223827873261,-0.08952975295831433,-0.052927778621004305,-0.018049859766805558
236,237,CHEMBL3935303,O=C(O)CCc1ccc2cccc(N3CCN(CCc4ccc(OCCCN5CCCCCC5)cc4)CC3)c2n1,7.89997427,0.19449010677494116,0.023252306976484474,-0.006730152768053833,-0.0013428100928581305
237,238,CHEMBL400612,N#Cc1ccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCCC4)cc3)C(=O)C2)cc1,5.599999383,0.17395550298837695,-0.06325365740924502,-0.0335464489772316,0.02179148962603373
238,239,CHEMBL1824777,OC12CC3CC(CC(C3)N1Cc1ccccc1)C2,5.0,-0.04191319597747136,-0.09725977314272555,0.1080748887277775,0.009074412113075955
